Date,high,low,open,price,volume,adj close,sma10,ema20,ema30,rsi,macd,lag1,lag5,lag10,signal,positions
2016-02-16,195540,193106,195540,193465,300,193465,191465.7,191900.7992862621,191960.96666666667,53.12230729517949,-435.0992862620915,-534.0,2210.0,-1294.0,0,
2016-02-17,196070,194063,194741,195903,400,195903,192065.8,192281.96125899904,192215.29139784948,57.92741710217515,-216.16125899905455,2438.0,3268.0,6001.0,0,0.0
2016-02-18,199001,196025,196450,196025,400,196025,192682.2,192638.44113909436,192461.07904960113,58.158546222981535,43.75886090565473,122.0,5505.0,6164.0,1,1.0
2016-02-19,197660,195726,196075,197310,100,197310,193193.2,193083.35150679966,192773.9126593043,60.61290167713303,109.84849320034846,1285.0,7310.0,5110.0,1,0.0
2016-02-22,199800,197631,199000,198650,200,198650,193976.2,193613.50850615208,193153.01506838144,63.04715056850404,362.69149384793127,1340.0,4651.0,7830.0,1,0.0
2016-02-23,198300,196502,197880,196502,100,196502,194500.9,193888.6029341376,193369.07861235685,56.96909740479623,612.2970658623963,-2148.0,3037.0,5247.0,1,0.0
2016-02-24,197400,194201,195755,196511,300,196511,194888.5,194138.3550356483,193571.78321801126,56.98780782428307,750.1449643516971,9.0,608.0,3876.0,1,0.0
2016-02-25,198899,196100,197690,198899,400,198899,195726.4,194591.74979415798,193915.47462330086,61.741270702484194,1134.6502058420156,2388.0,2874.0,8379.0,1,0.0
2016-02-26,200000,198000,199000,198191,400,198191,196545.5,194934.5355280477,194191.3149701847,59.63692358355771,1610.9644719522912,-708.0,881.0,8191.0,1,0.0
2016-02-29,203192,200000,200100,202555,900,202555,197401.1,195660.29404918605,194730.90755275343,67.08398919285356,1740.8059508139559,4364.0,3905.0,8556.0,1,0.0
2016-03-01,205606,202600,203899,205500,700,205500,198604.6,196597.40890164452,195425.6877106403,70.97575811154115,2007.1910983554844,2945.0,8998.0,12035.0,1,0.0
2016-03-02,206009,204580,206000,205500,400,205500,199564.3,197445.27472053553,196075.6433422119,70.97575811154115,2119.025279464462,0.0,8989.0,9597.0,1,0.0
2016-03-03,206395,204999,205750,206000,400,206000,200561.8,198260.01046143693,196715.92441690792,71.63608665548949,2301.7895385630545,500.0,7101.0,9975.0,1,0.0
2016-03-04,207945,205700,206200,207945,1100,207945,201625.3,199182.39041749056,197440.38090613968,74.10418808115675,2442.9095825094264,1945.0,9754.0,10635.0,1,0.0
2016-03-07,208750,206621,207500,208500,700,208500,202610.3,200069.78180630098,198153.9047186468,74.77859828610272,2540.518193699012,555.0,5945.0,9850.0,1,0.0
2016-03-08,208700,207280,208150,207989,600,207989,203759.0,200823.99306284374,198788.42699486317,72.89619758155041,2935.0069371562568,-511.0,2489.0,11487.0,1,0.0
2016-03-09,209425,208250,208336,209250,500,209250,205032.9,201626.46991400147,199463.36718874297,74.59569659685916,3406.4300859985233,1261.0,3750.0,12739.0,1,0.0
2016-03-10,210001,207930,209865,209120,700,209120,206055.0,202340.13944600133,200086.37575721118,74.07998779265668,3714.8605539986747,-130.0,3120.0,10221.0,1,0.0
2016-03-11,211600,209490,209990,211600,600,211600,207395.9,203222.03092733453,200829.1902244879,77.3035867988748,4173.86907266546,2480.0,3655.0,13409.0,1,0.0
2016-03-14,212250,209850,212000,210300,200,210300,208170.4,203896.12321996933,201440.21021000482,72.23234977601065,4274.276780030661,-1300.0,1800.0,7745.0,1,0.0
2016-03-15,211200,209173,209720,211070,200,211070,208727.4,204579.34957997224,202061.48697064968,73.34762544672934,4148.05042002775,770.0,3081.0,5570.0,1,0.0
2016-03-16,211000,210140,210200,210200,400,210200,209197.4,205114.6496199749,202586.55232738197,69.93003471749054,4082.7503800250997,-870.0,950.0,4700.0,1,0.0
2016-03-17,214000,209925,210240,213600,400,213600,209957.4,205922.7782275963,203297.09733851865,74.85999767068809,4034.6217724036833,3400.0,4480.0,7600.0,1,0.0
2016-03-18,214560,212481,214250,213330,300,213330,210495.9,206628.2279202062,203944.38138119486,73.824895779493,3867.6720797937887,-270.0,1730.0,5385.0,1,0.0
2016-03-21,214000,212860,213330,213300,200,213300,210975.9,207263.63478494846,204547.9696791823,73.70295180425231,3712.265215051535,-30.0,3000.0,4800.0,1,0.0
2016-03-22,214538,212790,213200,213400,200,213400,211517.0,207848.05051971527,205119.06840955766,73.85796203955415,3668.949480284733,100.0,2330.0,5411.0,1,0.0
2016-03-23,213340,211370,212900,211370,300,211370,211729.0,208183.47427974237,205522.35431861848,65.42675979292801,3545.525720257632,-2030.0,1170.0,2120.0,1,0.0
2016-03-24,210980,209525,210200,210530,200,210530,211870.0,208406.9529197669,205845.42823354635,62.25962450051787,3463.047080233111,-840.0,-3070.0,1410.0,1,0.0
2016-03-28,212619,210790,211120,212125,200,212125,211922.5,208761.05264169385,206250.5618958982,65.65893650721422,3161.447358306148,1595.0,-1205.0,525.0,1,0.0
2016-03-29,213000,211000,212435,212800,100,212800,212172.5,209145.71429486584,206673.10628971123,67.01304903201392,3026.785705134156,675.0,-500.0,2500.0,1,0.0
2016-03-30,215130,213588,214345,214035,300,214035,212469.0,209611.36055249767,207148.067174246,69.3911784850515,2857.639447502326,1235.0,635.0,2965.0,1,0.0
2016-03-31,214623,212400,214125,213450,200,213450,212794.0,209976.9452617836,207554.643485585,66.92975607226347,2817.054738216393,-585.0,2080.0,3250.0,1,0.0
2016-04-01,215950,209641,211850,215740,300,215740,213008.0,210525.8076178042,208082.73100264405,71.23166243599408,2482.19238219579,2290.0,5210.0,2140.0,1,0.0
2016-04-04,215600,214360,215560,215060,200,215060,213181.0,210957.6354637276,208532.87738957026,68.386846033111,2223.364536272391,-680.0,2935.0,1730.0,1,0.0
2016-04-05,213884,211900,213501,212340,200,212340,213085.0,211089.28922908686,208778.4982031464,58.34863072176368,1995.7107709131378,-2720.0,-460.0,-960.0,1,0.0
2016-04-06,212990,211000,212299,212990,200,212990,213044.0,211270.30930250714,209050.20799649178,59.86476907484357,1773.690697492857,650.0,-1045.0,-410.0,1,0.0
2016-04-07,211911,210670,211302,211401,200,211401,213047.1,211282.75603560172,209201.87199671814,54.62957708552569,1764.3439643982856,-1589.0,-2049.0,31.0,1,0.0
2016-04-08,213144,211250,212300,211705,100,211705,213164.6,211322.9697464968,209363.36412596214,55.432572813748166,1841.6302535032155,304.0,-4035.0,1175.0,1,0.0
2016-04-11,213180,211660,212340,211660,100,211660,213118.1,211355.06786587805,209511.53418235166,55.27661560069619,1763.0321341219533,-45.0,-3400.0,-465.0,1,0.0
2016-04-12,213720,211652,212250,213700,200,213700,213208.1,211578.39473579443,209781.75778349026,60.677707819105,1629.7052642055787,2040.0,1360.0,900.0,1,0.0
