Date,High,Low,Open,Close,Volume,Adj Close,signal,sma10,ema20,ema30,rsi,macd,positions,inflection,pivot,price
2013-01-02,88.72000122070312,87.23999786376953,87.79000091552734,88.70999908447266,16143700.0,66.94242858886719,0.0,,,,,,,0.0,0.0,88.70999908447266
2013-01-03,88.88999938964844,88.16000366210938,88.45999908447266,88.55000305175781,13268200.0,66.82168579101562,0.0,,,,,,0.0,0.0,0.0,88.55000305175781
2013-01-04,89.08999633789062,88.37000274658203,88.5,88.95999908447266,11427900.0,67.13111114501953,0.0,,,,,,0.0,0.0,0.0,88.95999908447266
2013-01-07,88.48999786376953,87.56999969482422,88.30999755859375,87.93000030517578,11799800.0,66.35384368896484,0.0,,,,,,0.0,0.0,0.0,87.93000030517578
2013-01-08,88.4800033569336,87.29000091552734,87.81999969482422,88.4800033569336,14226400.0,66.76889038085938,0.0,,,,,,0.0,0.0,0.0,88.4800033569336
2013-01-09,88.54000091552734,87.75,88.4000015258789,88.13999938964844,10892200.0,66.51229858398438,0.0,,,,,,0.0,0.0,0.0,88.13999938964844
2013-01-10,89.4800033569336,88.37000274658203,88.75,89.0999984741211,13099600.0,67.23672485351562,0.0,,,,,,0.0,0.0,0.0,89.0999984741211
2013-01-11,89.70999908447266,88.86000061035156,88.97000122070312,89.61000061035156,11645600.0,67.62158203125,0.0,,,,,,0.0,0.0,0.0,89.61000061035156
2013-01-14,89.75,89.31999969482422,89.45999908447266,89.58000183105469,9606700.0,67.5989761352539,0.0,,,,,,0.0,0.0,0.0,89.58000183105469
2013-01-15,89.61000061035156,89.0,89.18000030517578,89.52999877929688,9195400.0,67.56123352050781,0.0,88.85900039672852,,,,,0.0,0.0,0.0,89.52999877929688
2013-01-16,89.4800033569336,89.06999969482422,89.16000366210938,89.47000122070312,9645000.0,67.51595306396484,0.0,88.93500061035157,,,,,0.0,0.0,0.0,89.47000122070312
2013-01-17,90.94000244140625,89.5999984741211,89.76000213623047,90.19999694824219,13400300.0,68.06682586669922,0.0,89.1,,,,,0.0,0.0,0.0,90.19999694824219
2013-01-18,90.83000183105469,89.83000183105469,90.08999633789062,90.80000305175781,17196000.0,68.51960754394531,0.0,89.28400039672852,,,,,0.0,0.0,0.0,90.80000305175781
2013-01-22,90.94000244140625,90.20999908447266,90.2699966430664,90.91999816894531,11897500.0,68.61015319824219,0.0,89.58300018310547,,,,,0.0,0.0,0.0,90.91999816894531
2013-01-23,90.87999725341797,90.41999816894531,90.5,90.69999694824219,10906800.0,68.44413757324219,0.0,89.80499954223633,,,71.049281315624,,0.0,0.0,0.0,90.69999694824219
2013-01-24,91.72000122070312,90.75,90.87999725341797,91.3499984741211,11100000.0,68.93462371826172,0.0,90.1259994506836,,,75.88842206032888,,0.0,0.0,0.0,91.3499984741211
2013-01-25,91.80000305175781,91.12999725341797,91.56999969482422,91.7300033569336,11090600.0,69.22138214111328,0.0,90.38899993896484,,,78.1842461728617,,0.0,0.0,0.0,91.7300033569336
2013-01-28,91.66999816894531,90.7699966430664,91.66999816894531,91.11000061035156,11617500.0,68.75355529785156,0.0,90.53899993896485,,,66.97857214709921,,0.0,0.0,0.0,91.11000061035156
2013-01-29,91.93000030517578,91.19999694824219,91.20999908447266,91.76000213623047,11700600.0,69.2440185546875,0.0,90.75699996948242,,,71.57777213494909,,0.0,0.0,0.0,91.76000213623047
2013-01-30,91.72000122070312,90.37999725341797,91.16999816894531,90.66999816894531,15645400.0,68.4214859008789,0.0,90.87099990844726,89.8650001525879,,57.19234567965182,1.0059997558593636,0.0,0.0,0.0,90.66999816894531
2013-01-31,91.20999908447266,89.73999786376953,90.69000244140625,89.97000122070312,15991500.0,67.89327239990234,0.0,90.92099990844727,89.87500025431316,,50.213017271447185,1.045999654134107,0.0,0.0,0.0,89.97000122070312
2013-02-01,90.5,89.36000061035156,90.44000244140625,90.04000091552734,15699200.0,67.94608306884766,0.0,90.90500030517578,89.89071460300023,,50.85882897342005,1.0142857021755418,0.0,0.0,0.0,90.04000091552734
2013-02-04,89.62000274658203,88.83999633789062,89.41000366210938,89.1500015258789,13347300.0,67.27449798583984,0.0,90.7400001525879,89.82017050041725,,43.1881628680897,0.9198296521706482,0.0,0.0,0.0,89.1500015258789
2013-02-05,90.19000244140625,89.41999816894531,89.87999725341797,89.73999786376953,11679700.0,67.71971893310547,0.0,90.62200012207032,89.8125350112127,,48.710690130554056,0.8094651108576159,0.0,0.0,0.0,89.73999786376953
