Date,High,Low,Open,Close,Volume,Adj Close,signal,sma10,ema20,ema30,rsi,macd,positions,inflection,pivot,price
2017-01-03,84.38999938964844,83.5,83.87999725341797,84.19999694824219,8792700.0,75.27574920654297,0.0,,,,,,,0.0,0.0,84.19999694824219
2017-01-04,84.5999984741211,84.23999786376953,84.44999694824219,84.5,8096700.0,75.54396057128906,0.0,,,,,,0.0,0.0,0.0,84.5
2017-01-05,85.43000030517578,84.37999725341797,84.41000366210938,85.05999755859375,6852400.0,76.04460906982422,0.0,,,,,,0.0,0.0,0.0,85.05999755859375
2017-01-06,85.25,84.62000274658203,84.94000244140625,85.02999877929688,4799900.0,76.01779174804688,0.0,,,,,,0.0,0.0,0.0,85.02999877929688
2017-01-09,84.66000366210938,83.75,84.05999755859375,84.4000015258789,11000600.0,75.45455169677734,0.0,,,,,,0.0,0.0,0.0,84.4000015258789
2017-01-10,84.43000030517578,83.23999786376953,84.33999633789062,83.48999786376953,10918200.0,74.6409912109375,0.0,,,,,,0.0,0.0,0.0,83.48999786376953
2017-01-11,83.75,83.27999877929688,83.38999938964844,83.75,9572300.0,74.87344360351562,0.0,,,,,,0.0,0.0,0.0,83.75
2017-01-12,83.87999725341797,83.37000274658203,83.70999908447266,83.83999633789062,6545400.0,74.95391082763672,0.0,,,,,,0.0,0.0,0.0,83.83999633789062
2017-01-13,84.0199966430664,83.44000244140625,83.8499984741211,84.01000213623047,6762800.0,75.10588073730469,0.0,,,,,,0.0,0.0,0.0,84.01000213623047
2017-01-17,85.58000183105469,83.87999725341797,83.9000015258789,85.20999908447266,13145100.0,76.17869567871094,0.0,84.3489990234375,,,,,0.0,0.0,0.0,85.20999908447266
2017-01-18,85.30000305175781,84.58999633789062,84.80000305175781,84.93000030517578,10520400.0,76.53013610839844,0.0,84.42199935913087,,,,,0.0,0.0,0.0,84.93000030517578
