Date,High,Low,Open,Close,Volume,Adj Close,signal,sma10,ema20,ema30,rsi,macd,positions,inflection,pivot,price
2015-01-02,227470,222735,227230,223600,300,223600,0.0,,,,,,,0.0,0.0,223600
2015-01-05,223595,220000,223595,220980,500,220980,0.0,,,,,,0.0,0.0,0.0,220980
2015-01-06,222870,219266,221110,220450,400,220450,0.0,,,,,,0.0,0.0,0.0,220450
2015-01-07,223536,220000,222500,223480,400,223480,0.0,,,,,,0.0,0.0,0.0,223480
2015-01-08,226949,224000,226124,226680,600,226680,0.0,,,,,,0.0,0.0,0.0,226680
2015-01-09,227500,223968,227500,224675,200,224675,0.0,,,,,,0.0,0.0,0.0,224675
2015-01-12,225495,222083,225495,222424,200,222424,0.0,,,,,,0.0,0.0,0.0,222424
2015-01-13,226420,221802,224849,223000,600,223000,0.0,,,,,,0.0,0.0,0.0,223000
2015-01-14,222577,219779,221005,221878,800,221878,0.0,,,,,,0.0,0.0,0.0,221878
2015-01-15,223000,220839,222505,221510,200,221510,0.0,222867.7,,,,,0.0,0.0,0.0,221510
2015-01-16,223779,220105,220990,223615,200,223615,0.0,222869.2,,,,,0.0,0.0,0.0,223615
2015-01-20,225441,222208,224000,222636,400,222636,0.0,223034.8,,,,,0.0,0.0,0.0,222636
2015-01-21,222500,220000,222039,220895,300,220895,0.0,223079.3,,,,,0.0,0.0,0.0,220895
2015-01-22,225214,221020,222495,224915,400,224915,0.0,223222.8,,,,,0.0,0.0,0.0,224915
2015-01-23,224800,223680,224800,223751,100,223751,0.0,222929.9,,,51.80750155677716,,0.0,0.0,0.0,223751
2015-01-26,224517,222432,223900,224184,100,224184,0.0,222880.8,,,53.13831628851745,,0.0,0.0,0.0,224184
2015-01-27,223154,221450,221961,221511,300,221511,0.0,222789.5,,,44.8961238389233,,0.0,0.0,0.0,221511
2015-01-28,223100,217160,222700,217160,400,217160,0.0,222205.5,,,35.298460120431926,,0.0,0.0,0.0,217160
2015-01-29,220380,216340,218000,219998,300,219998,0.0,222017.5,,,43.74579420810756,,0.0,0.0,0.0,219998
2015-01-30,219900,215865,219900,215865,300,215865,0.0,221453.0,222160.35,,36.31082935582457,-707.3500000000058,0.0,0.0,0.0,215865
2015-02-02,220100,215151,216001,220100,200,220100,0.0,221101.5,221964.1261904762,,46.3692379759819,-862.6261904762068,0.0,0.0,0.0,220100
2015-02-03,222695,218925,221800,222183,300,222183,0.0,221056.2,221984.97131519276,,50.50930852293421,-928.7713151927455,0.0,0.0,0.0,222183
2015-02-04,222754,220815,222000,221027,200,221027,0.0,221069.4,221893.73595184105,,48.28174557982315,-824.335951841058,0.0,0.0,0.0,221027
2015-02-05,224863,221800,222195,224560,400,224560,0.0,221033.9,222147.6658611895,,54.83729366052861,-1113.7658611895167,0.0,0.0,0.0,224560
2015-02-06,227450,224376,225000,224880,300,224880,0.0,221146.8,222407.88816012384,,55.38886218267753,-1261.0881601238507,0.0,0.0,0.0,224880
2015-02-09,224545,223209,224545,224000,200,224000,0.0,221128.4,222559.51785915968,,53.4554309638647,-1431.1178591596836,0.0,0.0,0.0,224000
2015-02-10,225820,223389,225250,225140,200,225140,0.0,221491.3,222805.27806304925,,55.616813437148316,-1313.9780630492605,0.0,0.0,0.0,225140
2015-02-11,225340,223339,225099,224393,100,224393,0.0,222214.6,222956.48967609217,,53.85213345513555,-741.8896760921634,0.0,0.0,0.0,224393
2015-02-12,225540,224020,225000,224460,300,224460,0.0,222660.8,223099.68113551196,,53.99313419428212,-438.88113551196875,0.0,0.0,0.0,224460
2015-02-13,224186,222030,223890,222555,400,222555,1.0,223329.8,223047.80674165368,222550.16666666666,49.37387983154514,281.9932583463087,1.0,0.0,0.0,222555
2015-02-17,224000,222486,222950,223300,200,223300,1.0,223649.8,223071.82514721047,222598.54301075268,51.13456256985528,577.9748527895135,0.0,0.0,0.0,223300
2015-02-18,223600,222380,223460,222800,200,222800,1.0,223711.5,223045.93703795236,222611.54023586542,49.8807352678945,665.5629620476393,0.0,0.0,0.0,222800
2015-02-19,222560,220730,222251,221495,200,221495,1.0,223758.3,222898.22874862354,222539.50538193862,46.664588853757486,860.0712513764447,0.0,0.0,0.0,221495
2015-02-20,223100,219940,220721,223100,200,223100,1.0,223612.3,222917.44505827845,222575.66632503938,50.86100405737412,694.85494172154,0.0,0.0,0.0,223100
2015-02-23,222800,220294,222800,221000,300,221000,1.0,223224.3,222734.83124320433,222474.01043310136,45.78507360923272,489.4687567956571,0.0,0.0,0.0,221000
2015-02-24,224010,220960,221200,223405,300,223405,1.0,223164.8,222798.6568390896,222534.0742761271,51.72685655167246,366.1431609103747,0.0,0.0,0.0,223405
2015-02-25,223970,222680,223970,222855,200,222855,1.0,222936.3,222804.02285441442,222554.77916153826,50.36735609851819,132.2771455855691,0.0,0.0,0.0,222855
2015-02-26,223420,222000,222946,222250,100,222250,1.0,222722.0,222751.2587730416,222535.11598982612,48.846547663735365,-29.258773041598033,0.0,0.0,0.0,222250
2015-02-27,222250,220860,222250,221180,200,221180,0.0,222394.0,222601.61508037095,222447.68915177285,46.19018049484757,-207.6150803709461,-1.0,0.0,0.0,221180
2015-03-02,221900,219000,221900,220365,500,220365,0.0,222175.0,222388.6041203356,222313.322109723,44.217716628308544,-213.60412033559987,0.0,0.0,0.0,220365
2015-03-03,220580,217936,220580,219000,500,219000,0.0,221745.0,222065.87991839886,222099.55939296668,41.05550777199567,-320.87991839885945,0.0,0.0,0.0,219000
2015-03-04,218500,216500,218500,217612,300,217612,0.0,221226.2,221641.70087855135,221810.0394321301,38.07381984264402,-415.5008785513346,0.0,0.0,0.0,217612
2015-03-05,219822,217500,217735,219500,300,219500,0.0,221026.7,221437.72936630834,221661.0046300572,44.02845629329225,-411.02936630832846,0.0,0.0,0.0,219500
2015-03-06,221353,218645,219475,218811,400,218811,0.0,220597.8,221187.5646647552,221477.13336360193,42.42518641142378,-589.7646647552028,0.0,0.0,0.0,218811
2015-03-09,220845,218899,218900,220500,400,220500,0.0,220547.8,221122.0823157309,221414.0925014341,47.47456510871589,-574.2823157309031,0.0,0.0,0.0,220500
2015-03-10,219650,216900,219650,217400,800,217400,0.0,219947.3,220767.59828566128,221155.11879166416,40.46072596607499,-820.2982856612944,0.0,0.0,0.0,217400
2015-03-11,218865,216785,217745,217500,400,217500,0.0,219411.8,220456.39844893164,220919.30467607293,40.76474310818718,-1044.598448931647,0.0,0.0,0.0,217500
2015-03-12,219898,217721,218999,219898,300,219898,0.0,219176.6,220403.21764427147,220853.41405181016,47.66577727606695,-1226.617644271464,0.0,0.0,0.0,219898
2015-03-13,219500,216435,219500,217118,200,217118,0.0,218770.4,220090.33977338846,220612.41959685468,41.61313949737174,-1319.939773388469,0.0,0.0,0.0,217118
2015-03-16,219900,218350,218350,219502,200,219502,0.0,218684.1,220034.3074140181,220540.77962286407,47.741459310716536,-1350.2074140181066,0.0,0.0,0.0,219502
2015-03-17,219374,217240,219374,218600,200,218600,0.0,218644.1,219897.70670792117,220415.5680342922,45.7834282492291,-1253.6067079211643,0.0,0.0,0.0,218600
2015-03-18,220546,217195,218374,219699,300,219699,0.0,218852.8,219878.78225954773,220369.3378385314,48.55207524666642,-1025.9822595477453,0.0,0.0,0.0,219699
2015-03-19,219698,217705,219698,218000,200,218000,0.0,218702.8,219699.8506157813,220216.47733281972,44.74767356332479,-997.050615781307,0.0,0.0,0.0,218000
2015-03-20,219560,218300,219200,218300,200,218300,0.0,218651.7,219566.5315095164,220092.83363392815,45.55885568814906,-914.8315095163998,0.0,0.0,0.0,218300
2015-03-23,219999,218279,219150,218646,200,218646,0.0,218466.3,219478.86184194344,219999.48952851343,46.53381507853146,-1012.5618419434468,0.0,0.0,0.0,218646
2015-03-24,218260,216999,218175,217005,300,217005,0.0,218426.8,219243.25595223455,219806.2966557061,42.634094497483346,-816.4559522345662,0.0,0.0,0.0,217005
2015-03-25,218058,216386,217700,217000,600,217000,0.0,218376.8,219029.6125282122,219625.24525856378,42.62237393181812,-652.8125282122055,0.0,0.0,0.0,217000
2015-03-26,216760,215464,215939,216240,500,216240,0.0,218011.0,218763.93514457293,219406.84233865645,40.786931232169444,-752.9351445729262,0.0,0.0,0.0,216240
2015-03-27,217380,215759,216850,217000,500,217000,0.0,217999.2,218595.94132128026,219251.56218777542,43.411258049632096,-596.7413212802494,0.0,0.0,0.0,217000
2015-03-30,220000,218000,218000,219700,300,219700,0.0,218019.0,218701.0897668726,219280.49365953184,51.615548491654955,-682.0897668726102,0.0,0.0,0.0,219700
2015-03-31,219400,217500,219400,217500,200,217500,0.0,217909.0,218586.70026526568,219165.62310085236,45.79013792552989,-677.7002652656811,0.0,0.0,0.0,217500
2015-04-01,217980,216138,217900,216300,200,216300,0.0,217569.1,218368.91928762133,218980.74419111997,42.94316528473027,-799.8192876213288,0.0,0.0,0.0,216300
2015-04-02,216853,215700,216154,216500,200,216500,0.0,217419.1,218190.92697451456,218820.69617878966,43.57286396500573,-771.8269745145517,0.0,0.0,0.0,216500
2015-04-06,217401,215273,215440,216275,100,216275,0.0,217216.6,218008.4577388465,218656.45771564194,42.997940586364116,-791.8577388465055,0.0,0.0,0.0,216275
2015-04-07,216981,215460,216400,215500,200,215500,0.0,216902.0,217769.55700181352,218452.81528237474,40.99165310426204,-867.5570018135186,0.0,0.0,0.0,215500
2015-04-08,216612,214780,216000,214828,500,214828,0.0,216684.3,217489.40871592652,218218.95623189898,39.28017564686816,-805.1087159265298,0.0,0.0,0.0,214828
2015-04-09,215640,214500,214828,215523,400,215523,0.0,216536.6,217302.1316953621,218045.0235717765,41.97832643372327,-765.5316953620932,0.0,0.0,0.0,215523
2015-04-10,215850,214655,215100,215211,200,215211,0.0,216433.7,217102.9762958038,217862.18334133932,41.095481844207825,-669.2762958037783,0.0,0.0,0.0,215211
2015-04-13,216160,215321,215720,215950,200,215950,0.0,216328.7,216993.16902953674,217738.81667415614,44.09455969495388,-664.4690295367327,0.0,0.0,0.0,215950
2015-04-14,215400,213620,215100,214420,300,214420,0.0,215800.7,216748.10531243798,217524.6994693719,39.59926718654309,-947.4053124379716,0.0,0.0,0.0,214420
2015-04-15,215496,214260,214260,214675,300,214675,0.0,215518.2,216550.66671125343,217340.84789070275,40.68462677320637,-1032.4667112534225,0.0,0.0,0.0,214675
2015-04-16,215066,213500,214180,214350,200,214350,0.0,215323.2,216341.07940541976,217147.88996227033,39.705343667706536,-1017.8794054197497,0.0,0.0,0.0,214350
2015-04-17,213345,211960,212990,212982,500,212982,0.0,214971.4,216021.16708109409,216879.12286793033,35.79927740571998,-1049.7670810940908,0.0,0.0,0.0,212982
2015-04-20,214872,213590,214000,214100,300,214100,0.0,214753.9,215838.19878765655,216699.82461838645,40.915013984561874,-1084.2987876565603,0.0,0.0,0.0,214100
2015-04-21,214860,213112,214760,213440,200,213440,0.0,214547.9,215609.79890311783,216489.5133526841,38.942245752012404,-1061.8989031178353,0.0,0.0,0.0,213440
2015-04-22,214900,213360,213900,214789,200,214789,0.0,214544.0,215531.62757901137,216379.80281380125,44.80065837937836,-987.6275790113723,0.0,0.0,0.0,214789
2015-04-23,215575,214000,214100,214740,300,214740,0.0,214465.7,215456.23447624838,216274.0090838786,44.63313887688295,-990.5344762483728,0.0,0.0,0.0,214740
2015-04-24,214900,214022,214615,214490,200,214490,0.0,214393.6,215364.21214517712,216158.91172362838,43.73460430466889,-970.6121451771178,0.0,0.0,0.0,214490
2015-04-27,214720,212432,214575,212585,500,212585,0.0,214057.1,215099.52527420787,215928.33677371687,37.533903830055856,-1042.425274207868,0.0,0.0,0.0,212585
2015-04-28,215150,212195,212500,215150,400,215150,0.0,214130.1,215104.33239094997,215878.12149799324,48.186094940497796,-974.2323909499682,0.0,0.0,0.0,215150
2015-04-29,215000,213500,214200,214400,200,214400,0.0,214102.6,215037.2531156214,215782.75882070337,45.7304872219766,-934.6531156213896,0.0,0.0,0.0,214400
2015-04-30,214706,212806,214000,213400,300,213400,0.0,214007.6,214881.32424746698,215629.03244517415,42.61234371312522,-873.7242474669765,0.0,0.0,0.0,213400
2015-05-01,215930,213650,214666,215800,300,215800,0.0,214289.4,214968.81717627964,215640.06261000165,51.21062166592627,-679.4171762796468,0.0,0.0,0.0,215800
2015-05-04,220100,217333,217800,219290,500,219290,0.0,214808.4,215380.35839758633,215875.54244161447,60.48273514299151,-571.9583975863352,0.0,0.0,0.0,219290
2015-05-05,220250,218000,219200,218000,300,218000,0.0,215264.4,215629.84807400667,216012.60421957483,56.22906979455948,-365.44807400667924,0.0,0.0,0.0,218000
2015-05-06,219105,215820,219000,216620,200,216620,0.0,215447.5,215724.1482574346,216051.7910441184,52.014705263170725,-276.64825743460096,0.0,0.0,0.0,216620
2015-05-07,219000,216295,216620,218720,200,218720,0.0,215845.5,216009.46747101226,216223.9335574011,57.26388162656618,-163.96747101226356,0.0,0.0,0.0,218720
2015-05-08,222880,220140,220300,222880,400,222880,1.0,216684.5,216663.80390234443,216653.3571988591,65.35007338790908,20.696097655571066,1.0,0.0,0.0,222880
2015-05-11,223011,219550,223000,219550,100,219550,1.0,217381.0,216938.67972116877,216840.23737957788,56.18556267179835,442.32027883123374,0.0,0.0,0.0,219550
2015-05-12,218979,216950,218979,217800,100,217800,1.0,217646.0,217020.7102239146,216902.1575486374,52.05416335874589,625.2897760854103,0.0,0.0,0.0,217800
2015-05-13,217871,216800,217290,217200,200,217200,1.0,217926.0,217037.78544068465,216921.3731906608,50.678247390842806,888.2145593153546,0.0,0.0,0.0,217200
2015-05-14,219270,217591,217945,219270,100,219270,1.0,218513.0,217250.37730347656,217072.89750094074,55.08881730360496,1262.6226965234382,0.0,0.0,0.0,219270
2015-05-15,219899,217830,219899,218640,100,218640,1.0,218797.0,217382.72232219306,217174.00088797684,53.520158509974756,1414.2776778069383,0.0,0.0,0.0,218640
2015-05-18,219386,218145,218760,219125,100,219125,1.0,218780.5,217548.65352960327,217299.87179842996,54.5921271247349,1231.846470396733,0.0,0.0,0.0,219125
2015-05-19,220650,218250,219000,220400,300,220400,1.0,219020.5,217820.2103363077,217499.880069499,57.375250152372956,1200.289663692296,0.0,0.0,0.0,220400
2015-05-20,220000,218816,219900,219526,200,219526,1.0,219311.1,217982.6664947546,217630.59748437002,54.891585517674045,1328.433505245397,0.0,0.0,0.0,219526
