Date,High,Low,Open,Close,Volume,Adj Close,signal,sma10,ema20,ema30,rsi,macd,positions,inflection,pivot,price
2012-01-03,128.3800048828125,127.43000030517578,127.76000213623047,127.5,193697900.0,107.56377410888672,0.0,,,,,,,0.0,0.0,127.5
2012-01-04,127.80999755859375,126.70999908447266,127.19999694824219,127.69999694824219,127186500.0,107.73252868652344,0.0,,,,,,0.0,0.0,0.0,127.69999694824219
2012-01-05,128.22999572753906,126.43000030517578,127.01000213623047,128.0399932861328,173895000.0,108.01935577392578,0.0,,,,,,0.0,0.0,0.0,128.0399932861328
2012-01-06,128.22000122070312,127.29000091552734,128.1999969482422,127.70999908447266,148050000.0,107.74092864990234,0.0,,,,,,0.0,0.0,0.0,127.70999908447266
2012-01-09,128.17999267578125,127.41000366210938,128.0,128.02000427246094,99530200.0,108.00247955322266,0.0,,,,,,0.0,0.0,0.0,128.02000427246094
2012-01-10,129.64999389648438,128.9499969482422,129.38999938964844,129.1300048828125,115282000.0,108.93891143798828,0.0,,,,,,0.0,0.0,0.0,129.1300048828125
2012-01-11,129.3699951171875,128.52000427246094,128.72999572753906,129.1999969482422,111540700.0,108.99796295166016,0.0,,,,,,0.0,0.0,0.0,129.1999969482422
2012-01-12,129.6999969482422,128.5399932861328,129.57000732421875,129.50999450683594,118983700.0,109.25946807861328,0.0,,,,,,0.0,0.0,0.0,129.50999450683594
2012-01-13,129.0500030517578,127.72000122070312,128.63999938964844,128.83999633789062,179836200.0,108.69425964355469,0.0,,,,,,0.0,0.0,0.0,128.83999633789062
2012-01-17,130.32000732421875,128.89999389648438,130.0800018310547,129.33999633789062,132209200.0,109.11607360839844,0.0,128.49899826049804,,,,,0.0,0.0,0.0,129.33999633789062
2012-01-18,130.83999633789062,129.0800018310547,129.30999755859375,130.77000427246094,163395200.0,110.32246398925781,0.0,128.82599868774415,,,,,0.0,0.0,0.0,130.77000427246094
2012-01-19,131.57000732421875,130.8000030517578,131.22000122070312,131.4600067138672,126328900.0,110.90459442138672,0.0,129.20199966430664,,,,,0.0,0.0,0.0,131.4600067138672
2012-01-20,131.9499969482422,130.9199981689453,131.24000549316406,131.9499969482422,138230200.0,111.31796264648438,0.0,129.59300003051757,,,,,0.0,0.0,0.0,131.9499969482422
